origination_name	Qid	unittitle	bioghist	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20	Column 21
By the early 60s		 there was growing idealism among African Americans in Seattle	 and a reaction against the efficacy of the 1950s NAACP and Seattle Urban League. Inspired by national movements	 Taylor writes that African Americans in the Central District engaged in “direct action campaigning to end job bias	 housing discrimination	 and de facto school segregation in Seattle as an integral part of the national effort to eradicate racism	 empower African Americans	 and achieve the full and final democratization of the United States.” Despite some successes	 the majority of African Americans living in 1960s Seattle were disheartened by failures	 especially in relation to school segregation. Taylor argues that Seattle’s minority residents “sought instead to build a community within the Central District free of the economic and psychological control of white Seattle.” It is in this context that the SSU hall location and their transition away from overt militancy becomes significant. At first glance	 it may seem to represent a deeper entrenchment within Seattle’s black community	 but in actuality	 it was a move inwards that prefigured the trend of many Seattle civil rights organizations later in the decade.								
Even though the 1960s marked a decline in social activism for the Ship Scalers Union		 it remained dedicated to improving working conditions for members	 retaining at least some of the vigor of the early days of the union. The most significant event of the decade for the Local 541 was in fact three separate strikes at the Lockheed Shipyard over a period of four years from 1966 to 1970. The first strike occurred between August 25-29	 1966 over a reported dispute about supervision of the SSU being transferred outside the union. On the first day	 140 members of the union left work at ten in the morning to attend an internal meeting about the change in supervision. They stayed on strike for the next four days until a settlement was reached that allowed unionized ship scalers to remain under the supervision of nine-year ship scaler veteran James Wilson. While the dispute was in essence only with Lockheed	 it represented a greater theme in the history of the SSU’s quest for autonomous working conditions and supervision. In much the same way that the Ship Scalers Union sought to free the country of fascists during WWII	 they now narrowed their scope and demanded the right to work as a unified group within Seattle’s maritime industry under familiar leadership. As a continuation of the union’s activism	 the Lockheed dispute effectively galvanized support for solidarity among ship scalers working in Seattle’s yards.													
The second strike further reflected the union’s desire for familiar leadership		 but this time with racial overtones	 signifying a desire to remain involved in civil rights	 even if on a smaller scale. In late December of 1967	 Lockheed changed supervisors without announcing it to the SSU in order to avoid a strike. Instead	 the roughly 170 ship scalers working at Lockheed walked out again on January 3	 1968 one week after Painter’s Union member Rube Plunge was named as supervisor. By January 9th	 a settlement was reached that removed Plunge and instated a member of Local 541 named George Walker as the ship scalers’ supervisor. The SSU argument was two-fold: They argued that scalers “were being deprived of their own supervision	” and that the change in supervisors was due “partly to discrimination” because	 as the Seattle Times reported	 “Wilson and Walker are Negroes. Plunge is Caucasian. A majority of members of the union is Negro.” The fact that this strike was directly attributed to race is important. It demonstrates the SSU’s belief that the equal employment on the waterfront was neither complete nor totally equal. Furthermore	 the Ship Scalers Union’s ability to mobilize and support its rank and file to achieve its ends illustrates the influence they still wielded at the end of the 1960s.									
Even though Del Castle		 Fred Berry	 and Hugh DeLacy departed from the union and the Ship Scalers Union moved away from the waterfront	 the SSU still supported its own workers and remained involved with workers’ issues throughout its existence. The final strike in the series of disputes occurred in October of 1970	 when 175 Ship Scalers walked off Lockheed’s shipyard again. This strike was not regarding supervision	 but the computing of vacation pay as well as the handling of fiberglass in the shipyard that became part of the Ship Scalers Union’s contract with Lockheed in July of 1968. The strike only lasted two days and ended in a grudging settlement by Lockheed to pay back vacation and $282.88 to every worker as premium pay for handling the fiberglass. According to secretary-treasurer/business manager Van Harrison	 disputes with Lockheed were occurring since 1959 and the 1970 strike represented the culminating point. It also was one of the last battles the SSU fought outside their union	 as the next decade and a half would be marked by internal struggles with their international affiliate.													
The Ship Scalers Union’s relationship with the Laborers International Union of North America (LIUNA) was strained almost from the beginning of their affiliation and culminated in an irresolvable dispute with LIUNA in the 1980s		 ultimately leading Local 541 to be dissolved and control of their jurisdiction transferred to another local. Their relationship began in 1956 when the SSU disaffiliated with the International Brotherhood of Boilermakers and sought affiliation with the International Hod Carriers’	 Building and Common Laborers Union of America. Initially	 the Ship Scalers Union’s motives for the change in affiliation were more or less practical. A Seattle Times article described the SSU as “having been cast off” from the Boilermakers	 and “forced to seek affiliation with the Laborers’ International.” Most of the West Coast Ship Scalers unions were at the time affiliated with the Hod Carriers	 so it is not a surprising move because the Ship Scalers Union had to ensure its bargaining strength with employers. In their application for charter to the Hod Carriers	 the union listed only 400 members	 a relatively small and manageable union by the standards of the day. Indeed	 the SSU itself was clandestine about the nature of its departure from the Boilermakers. In the meeting minutes of an officers meeting	 George E. Flood argued that a letter sent to the Hod Carriers need not be “in complete accordance with all the specific details [of their motives for the affiliation change].” This seems to suggest either a significant dispute with the Boilermakers or that the Ship Scalers Union preferred to withhold information from the Hod Carriers	 or possibly only that the motives did not concern the Hod Carriers.										
Whatever the reasons for changing affiliation		 the Hod Carriers represented a better and brighter future for the members. The 1956 preamble of the Hod Carriers constitution argued “that all human-kind is created equal	 and are entitled to the basic human right of providing a living for themselves and their families…. [and] that all people of the earth who labor for the advancement of capital are entitled to an equitable share of said advancement	 as well as the right to organize and to achieve advancement through collective [sic] bargaining.” This was similar language the Ship Scalers Union used in its push for equal opportunity employment	 and half a decade earlier when rigorously supporting communism. In the mid-1950s	 many Boilermakers locals either discriminated against admitting black members or established quotas for minority workers. It was more than likely that partial motivation lay in the SSU’s hopes to have a strong and progressive international to support their own forward agenda. This mutually beneficial relationship did not develop and instead LIUNA became representative of the dictatorial governance that the union fought strongly against during WWII.															
Prior to official affiliation with the Hod Carriers		 the Ship Scalers Union were disputing with the local of the Hod Carriers. A 1955 letter sent to both unions from a non-affiliated waterfront attorney lists mutually agreed upon terms of settlement that were resolved on February 4th of that year. The dispute was over jurisdiction in the cleaning of ships	 specifically how jurisdiction changed depending on whether the entire boiler was to be removed or not. While a relatively minor dispute	 it signified a long history of strife. In 1958	 the letter was sent again	 this time by an attorney of the Hod Carriers	 explicitly “reminding the Ship Scalers of their agreement	” who apparently were still performing duties that were allotted to the Hod Carriers. The Seattle Times historian Dick Clever called it an “uneasy relationship at best	” revealing that the Hod Carriers “insisted on collecting half of all monthly dues paid by members of Local 541	 regardless of whether the local received services for its money	” which the majority of the time it did not. Instead the fees	 augmented by poor management	 nearly bankrupted the SSU.								
The fourteen-year “irresolvable dispute” with LIUNA		 which ended in the transfer of control of Local 541	 began in 1972 when the general membership of the union attempted to remove Secretary-Treasurer Van Harrison from office. A generous and involved president of the union	 Harrison ran for the joint position of secretary-treasurer/business agent in 1968 and won. The two positions were combined in the early 60s to save on salary costs; this meant that the officer in charge of incoming funds and the officer in control of spending were the same person. In a union without a strong history in bookkeeping	 this was an ominous move. As far back as 1955	 a Labor Department audit “scolded the business manager for not being able to account for large quantities of cash.” As supported as Harrison was in his election to the position	 he was equally desired gone by 1972. An election was held in which Oscar Hearde ran against Harrison in an electoral meeting that was adjourned because of rampant disorder (see Figure 5). Among the charges lobbied against Harrison were: Refusal to allow members to see financial reports; lack of record keeping for receipts; and	 most egregious	 the unilateral transfer of jurisdiction of work for certain tasks away from the members of the Ship Scalers Union in the shipyards. Harrison was eventually suspended (along with Lucius “Lucky” Jackson)	 but LIUNA backed Harrison and Jackson by invoking a technicality of the union’s by-laws and reinstated them both in 1973 (see Figure 6). [76] LIUNA’s heavy-handed action of the Harrison-Jackson affair marked the beginning of the SSU’s struggle for management of its own affairs. After a series of hearings in 1973	 most of the rank and file was disillusioned with LIUNA	 and many	 including Hearde	 retreated from union politics. In the remaining years of the decade	 as far as most members were concerned	 the union was reduced to a hiring hall.					
The 1980s marked the total decline and fall of the Ship Scalers Union. In 1980		 another reform candidacy was attempted when Bob Barnes	 a younger	 white member of the union	 convinced Hearde to run again. Together they ran for the respective positions of secretary treasurer and business agent on a platform of reform	 arguing it was poor accounting to have the positions combined. These claims were not unfounded. A 1979 audit of the union’s financial records revealed $13	750.78 missing from Harrison’s books and union funds. Eventually the union was reimbursed for the missing funds by the corporation which bonded with Harrison and produced a check specifically noted “for loss caused by Van Harrison.” Together Heard and Barnes advocated for change in the union’s internal affairs by calling for more accountability. Again	 their election was contested by the LIUNA-backed Harrison and began a six-year battle of court cases in which the SSU continued to seek more independence from LIUNA	 which was having its own international officers indicted on racketeering charges in Washington D. C. The series of court cases brought the union into further financial despair	 and paired with the economic troubles in Seattle industries in the 80s	 directly contributed to the end of the union.										
In 1980		 the union listed a total of 837 members with roughly ninety percent of them working	 but by 1986	 The Seattle Post-Intelligencer noted that membership dropped by a third “to 550	 with less than half working.” Waning membership and hard economic times caused the union to fall behind in payments to various creditors as well as LIUNA	 who said that Local 541 stopped paying dues in 1984. Finally in May of 1986	 LIUNA suspended Local 541 for “failing to pay $60	000 in affiliation fees and pension contributions” and for owing upwards of $135	000 to its creditors. In April	1986	 Oscar Hearde published the article	 “An urgent appeal to Seattle Citizens for help” in The Facts	 a Central District progressive newspaper. In it	 Hearde attributed the union’s financial failures of the union specifically to the “Reagan Administration	” arguing that Reagan “failed to send enough work to the shipyards in the Northwest to supply the work necessary to keep our membership employed.” The appeal was to raise money to keep the SSU in Seattle	 but ultimately the union was forced to sell its E. Madison headquarters to pay their debts and control of the union was subsequently transferred to Local 252 in Tacoma. Despite its lackluster finale	 the Ship Scalers Union was dissolved amid controversy that existed since the union’s founding in the mid-1930s. In his appeal	 Hearde wrote that the Ship Scalers Union possessed “a long history of being the most integrated	 industrial Union of the Northwest	” and it is “one of the only Unions in the Northwest willing to stand up for the rights of our membership against what we consider to be the dictatorial powers of the International.”	
Despite Local 541’s shortcomings in its later years as a financial institution		 it managed to leave a lasting impression on the soul of Seattle’s civil rights movement and in the corpus of the city. According to Del Castle	 the early years of the union were led by idealists and was among the first to “challenge housing discrimination and prompted the first lunch-counter ‘sit-ins’ in the city.” Beyond these policy and social changes though	 there are two highly recognizable and visible physical remnants of the SSU’s impact in Seattle: A commissioned mural which still hangs in the city and the changing of a street name which runs through Seattle’s Central District.																	
1945 perhaps marked the highest union accomplishment in their involvement with the national dialogue. Mexican muralist Pablo O’Higgins agreed to paint a mural depicting the SSU’s history as a strongly anti-racist		 anti-discriminatory	 and progressive force in social politics. O’Higgins was in Seattle on the invitation of a University of Washington faculty member to give a visiting workshop on fresco painting at the university. Union officials who were familiar with his fresco work in Mexico approached him and asked him to do a mural for the auditorium of their Belltown union hall. According to O’Higgins	 “It will portray the struggle against racial discrimination and the unity of international labor as one of the most important developments for future peace.” O’Higgins solicited opinions from members of the union about what should be included in the mural and “for three weeks before I even planned this mural… I went out to the shipyards and talked to the workers—got their ideas and suggestions as to what they would like.” Del Castle himself is portrayed in the mural in the lower right-hand corner	 “whimsically” sporting a hammer and sickle on his lapel (see Figure 7).																
The 58-foot		 thirteen-panel mural marked the peak of the union’s involvement and its history in many ways parallels the history of the SSU. When the union was forced to move out of Belltown in 1959	 the mural was donated to the University of Washington and lost until February of 1975	 when it was discovered in an outdoor storage area on the university’s campus. After a series of ownership disputes that lasted until 1977	 the mural was to be placed at the Chicano cultural center El Centro de la Raza in Beacon Hill. The transfer would be effected once El Centro could raise enough money to have the panels transported there and ensure preservation safety in their building. Until then	 the mural was to hang in Kane Hall	 the main auditorium building at the University of Washington. The agreement between the University of Washington and El Centro was that the UW would pay for restoration costs	 and El Centro would pay for transportation and new fixtures for their building. It seems that El Centro did not raise enough money as the mural is still hanging today on the second floor of Kane Hall on the university’s campus. The mural itself depicts the SSU at its most active period of history and is representative of the SSU’s social involvement and publicity by containing	 according to Clever	 “all the clichés and idealized visions of the revolution that Castle and others had hoped would spread to American shores.” That the mural remains visible to the public today is a testament to the Ship Scalers Union early and militant social commitment.											
The final bout of the Ship Scalers Union came in 1982 with the city-wide controversy over the change in name of Seattle’s Empire Way to Martin Luther King Jr. Way. The Ship Scalers Union was central to the organization boycotting Empire Way stores that opposed the name change and ultimately proved successful for signing the bill into law. In the summer of 1982		 the Seattle City Council approved a motion to change the name of Empire Way	 a major South End and Central District arterial. The vote was cast and the name change would be signed into law and take effect later that year. In between the council vote and signing it into law	 many merchants on the eight-mile stretch of road formed the Empire Way Merchants’ Association in protest and lobbied the city not to change the name on the grounds of the financial burdens it would cause the stores to change their stationary and signs	 and the city to change its street signs.																
In direct response to the Association		 many Central District residents formed the Coalition for Respect and began boycotting Association stores. The Ship Scalers Union acted as liaison of the Coalition	 issuing press releases	 flyers	 and aiding in organizing boycotts. The contention over MLK Way was one of the most important local issues of the 80s	 in part because it affected so many merchants	 but primarily because of what it revealed about Seattle’s racial myopia. In fact	 violence began at one boycott in early September	 1982 when patrons and the owner of the Empire Way Tavern began verbally harassing picketers. According to a Coalition press release in The Facts	 “the tavern owner shouted racist insults	 made other threatening and argumentative remarks	 and pushed one African American woman. She then punched a white male picketer in the face	 knocking off his glasses	 and called him a ‘White nigger.’” While the rhetoric was more tempered by the Coalition	 their charges were not insubstantial. In one SSU flyer	 the union argued	 “It really gets down to some people just not wanting a street in front of their place named after a Black man…. This attitude	 which is at the root of the movement to block the name change	 displays a total lack of sensitivity to the fact that much of the money these merchants take is from Blacks and others who Dr. King spoke for.” Eventually	 the bill was signed into law and the street was renamed	 though it is doubtful such a victory was possible without the aid of the Coalition for Respect and the Ship Scalers Union’s resurgent activism amid the city’s growing complacency regarding discrimination.
Through its periods of advocacy		 the union seemed to maintain sight of its original values	 preserving that rhetoric in all progressive stances it took. In the end	 the union was unable to make a comeback from years of mismanagement and its disputes with LIUNA	 but Local 541 of the Ship Scalers Union presented Seattle with a challenge to change its atrophied stance toward race relations during its effectual fifty-year history. Through its militancy and progressive voices	 the SSU contributed to a lasting alteration of Seattle’s racial climate. The union’s activism signifies something beyond the gestalt of its members; it highlights the racial struggles Seattle and the nation underwent throughout the 20th century and causes a re-evaluated imagining of Seattle’s progressivism. Even though the Ship Scalers Union itself was neglected in its later years by its international	" the SSU continued to subvert Seattle’s refusal to acknowledge its own minority residents."""														
"Simer, Jeremy"		Jeremy Simer papers	"University of Washington alumnus and student activist.

Jeremy Orhan Simer attended the University of Washington from 1995 to 1998, and received a Bachelor of Arts degree."																		
"Simpson, Roger, 1937-"		Roger A. Simpson papers	"Professor of communications., University of Washington.

Roger Simpson joined the University of Washington faculty in 1968. During his tenure, his areas of interest included communication history, law of communication, media economics and editorial journalism. In 1961, Simpson completed a masters thesis for the University of Wisconsin in which he examined the American Newspaper Guild and the Seattle Post-Intelligencer strike of 1936."																		
"Sims, Beverly E."		Beverly Sims papers	"Sims was born and raised in Seattle. After attending the University of Washington, she worked for Boeing before becoming a secretary at the Northwest Labor and Employment Law Office (now the Legacy of Equality, Leadership, and Organizing).

While at LELO, Sims became involved in Seattle’s radical politics through her friendship with, and later marriage to, Tyree Scott, the leader of the United Construction Workers Association (UCWA). In 1975, Sims entered the apprenticeship program of the International Brotherhood of Electrical Workers (IBEW) Local 46— the same union that Scott belonged to— through a court-ordered affirmative action plan specifically for black workers. She was the third black woman to ever enter the program, and the first to complete it. She left the trades in the early 1980s following the birth of her son, Seth, and later worked for King County's HIV/ AIDS prevention program.

Source: http://depts.washington.edu/civilr/sims.htm"																		
Skowronek (Family : Emil Skowronek : 1920-1979)		Skowronek Family papers	"Emil Skowronek (aka Clark) (1904-1993) was born in Poland and immigrated to the United States as a young boy. Skowronek graduated high school in Tacoma. As a young man, Skowronek worked as a logger on the Olympic Peninsula for five years to fund his education at Washington State University, where he was a member of the wrestling team. While he worked as a logger, he was radicalized by the Industrial Workers of the World. Skowronek was a member of the Communist Party USA and served as a left wing labor organizer who (according to family lore) helped found the Seattle Ship Scaler's union in 1936. Skowroneck later became a ship rigger in the International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers, and Helpers, Local 104 (Seattle, Washington) and served as a business agent in the union. During World War II, Skowronek served in the merchant marine, where he was involved in the Battle of Okinawa. He lost his seamen's clearance for his political affiliations during the ""Red Scare"" of the 1950s, but was able to regain it.

Skowronek married Edna Theodosia Bundry in 1935. Edna Theodosia Skowroneck (1903-1976), graduated in 1932 with Bachelor's of Science in nursing from the University of Washington. She worked as a registered nurse.

Theodosia Skowronek ""Theo"" Nassar (1939-), Emil and Edna's daughter, recieved her BA in Sociology from Washington State University and her MS in Teaching/Communications from Gonzaga University, working as a caseworker at Eastern State Mental Hospital and a copywriter and journalist in Spokane before moving to Los Angeles to become a screenwriter for ten years.

Felix Skowronek (1935-2006), Emil and Edna's son, played principal flute for the Seattle Symphony from 1956–1957 and 1959–1960. Skowronek also played in the Seventh Army Symphony from 1957–1959, Puerto Rico Symphony Orchestra 1960–1966, and St. Louis Symphony 1966–1968, and was a member of the Casals Festival Orchestra in Puerto Rico and was a founding member of the Soni Ventorum Wind Quintet. He became a member of the faculty of the Conservatory of Music of Puerto Rico, followed by the University of Washington, where he taught for 38 years, and served as president of the National Flute Association and Seattle Flute Society. He was a leading figure in the revival of wooden Boehm-style flutes in the USA and an expert in the use of various hardwoods in flute manufacturing."																		
"Smith, James M., 1949-"		James M. Smith audio recordings and papers	"James M. ""Jim"" Smith was born on March 21, 1949 in Oakland, California. He moved with his family to Washington state as teenager and graduated from Cascade High School in 1967. After high school, he served two tours of duty in Vietnam in the Navy. He then spent forty years working through the Laborers' International Union of North America (LIUNA), Local 292 in Everett, Washington. He served as President of his Local as well as other offices. Smith was also a delegate to the Snohomish Central Labor Council. From the mid-1990s to 2017, Smith produced ""Radio Labor Journal"" for KSER 90.7 FM (Everett, Washington). The weekly program was one of only two radio shows in the Western US dedicated solely to working family issues.

Source: http://www.legacy.com/obituaries/heraldnet/obituary.aspx?n=james-m-smith&pid=186490576"																		
Socialist Labor Party (Wash.). Seattle Section		Socialist Labor Party Seattle Section records	"The Seattle Section of the Socialist Labor Party (SLP) was founded in the early 1890's as a branch of the Socialist Labor Party of America. The SLP was founded as a Marxist political party in 1876, the first nationwide socialist party in the United States. The party promoted the doctrines of Daniel DeLeon, theorist of the SLP, which advocated a classless, stateless, industrial democracy in which private property would be abolished and all natural resources and means of production would be operated by the workers through Socialist Industrial Unions. The SLP planned to achieve its goals through national and local elections and by capturing the trade union movement. However, the party's narrow sectarian ideology, its insistence on doctrinal unity and party discipline, together with its rejection of social reform alienated it from the trade union movement. After modest success in the 1890s, the party declined and never numbered more than a few thousand. It survived however, and continued to run candidates for national and state office.

The Socialist Labor Party was the first socialist organization of any importance in the Pacific Northwest but it never established ties with the labor movement and never developed beyond a small cadre. During the period documented by these papers, 1930-1962, the Section frequently consisted of fewer than six active members and at times, particularly in the early 1950s, nearly ceased to exist. Section Seattle experienced frequent internal dissent, occasionally expelled members and was, in 1944, itself censured, expelled from the Party and reorganized. The business of the Section was carried on by an organizer who was democratically chosen and who reported to the secretary of the State Executive Committee. The State Executive Committee answered to the National Executive Committee which was headed by the National Secretary, an office held by Arnold Peterson throughout this period. The official organ of the Party was the "																		
"Starkovich, George"		George Starkovich ephemera collection	"George Starkovich was a senior gardener at the University of Washington and the local president of Washington Federation of State Employees Local 1488 president. He was very active as a planner and participant in the 1999 World Trade Organization Seattle Ministerial Conference protests. George Starkovich began working as a gardener at the University of Washington in January of 1965, and quickly became involved in an organizing drive on behalf of his union, WFSE Local 1488. Starkovich was an experienced union organizer who had served as secretary of a miner’s union and shop steward at a plywood plant in Bellingham."																		
"Stedman, Vernon R."		Vernon R. Stedman Papers	"Vernon R. Stedman (1916-1993) was a National Labor Bureau researcher and labor negotiator for maritime unions. In the 1950s he studied economics at the University of Washington, and conducted research for a dissertation tentatively entitled ""Development of Collective Bargaining in the Puget Sound Inland Waterways Industry."" The project dealt largely with the history of the Inlandboatmen's Union of the Pacific (IBU), but also to some extent the Marine Engineers' Beneficial Association (MEBA) and the Masters, Mates and Pilots (MMP). In his research he consulted with John M. Fox, who became Business Manager and President of the IBU after also serving with the MMP, and with Clyde W. Deal, who helped form the IBU and who went on to work in the United States Department of Labor's Federal Mediation and Conciliation Service. Stedman did not complete his dissertation."																		
"Stein, Ben, approximately 1890-"		Ben Stein papers	"Born around 1890 in the Russian-controlled Belarusian city of Minsk, Ben Stein arrived as an immigrant to the United States in 1915. Initially landing in Seattle, he soon traveled east across the country and tried his hand at a series of professions. Stein never returned to Russia, but instead chose to settle in the Seattle area for the remainder of his life. After working in the luggage business for a time, Stein began to sell insurance in Seattle with his cousin, M.N. Ketzlach. Though his work as an insurance agent provided him with his primary source of income, the true focus of his energy was his involvement with Seattle's Jewish community. Stein served as the financial secretary for the Seattle branch of the Workmen's Circle, an organization that provided fiscal, cultural, and educational support to Jewish citizens in the area."																		
"Stone, Jen"		Jen Stone WTO Seattle Protests collection																			
Tacoma Civic Ballet		Tacoma Civic Ballet records	"The Tacoma Civic Ballet, a not-for-profit organization, debuted its first performance in 1964. It staged public performances by a resident company. Board members included Nancy C. Thomas."																		
"Temcov, Joanne L. (Joanne Little)"		Joanne Temcov papers	"Joanne Little Temcov (1926-) is a labor organizer and women’s rights advocate. She was born in Montesano, Washington and studied drama at the University of Washington. In the 1960s and 1970s she worked in various roles: Interviewer, Washington State Employment Security Department; Secretary and then President, American Federation of State, County and Municipal Employees (AFSCME) Local 435; Executive Board member, Washington Federation of State Employees (WFSE); and Industrial Relations Agent, Washington State Department of Labor and Industries. In the 1970s and 1980s Temcov was an active member of the National Organization for Women (NOW), the Coalition of Labor Union Women (CLUW), and the Women's Political Caucus. She also served as the secretary of the Pacific Northwest Labor History Association (PNLHA)."																		
"Thode, Kay"		Kay Thode Papers	"Social worker and welfare policy analyst Kay Thode worked as Director of the Seattle Urban League's Health and Welfare Department from 1968 to 1983. She subsequently worked as a planner for the King County Health Planning Council, a subarea council of the Puget Sound Health Systems Agency. Throughout her career she was tireless in advocating and lobbying for the rights of welfare recipients and the poor, and testified frequently before local, state, and federal government bodies. She was active in the Puget Sound Chapter of the National Association of Social Workers, serving as Newsletter Editor, President, and delegate to NASW's national assembly several times. At the organization's national level she was chair of the National Committee on Women's Issues and was a member of the National Social Policy and Action Cabinet. She was named Social Worker of the Year by the Puget Sound Council in 1972, and by the Washington State Chapter in 1979. She was also active in the Washington Association for Social Welfare, presenting a paper at its conference on The Worth of Work in, 1977, and serving as keynote speaker at its 1978 legislative conference. She was elected President of the organization in October 1979. She initiated the group Washington State Friends of Welfare Rights to support the activities of the Washington State and National Welfare Rights Organizations, and served on the boards of the Washington Coalition for a National Health Program, the Council of Planning Affiliates Legislative Comittee, Neighborhood Health Centers, the Fair Budget Action Campagn, the Welfare Rights Organizing Committee, and People for Fair Taxes. She also served on advisory committees for entities including King County Hospital, the Washington State Department of Social and Health Services, and Seattle City Light. Thode's husband Bob Thode appeared before the anti-Left Canwell Committee during the Red Scare of the 1950s--partly because of her activism."																		
"Tippett, Tom"		Tom Tippett manuscript	"Tom Tippett: Former editor of newspaper of the Aeronautical Machinists Union's, International Association of Machinists District Lodge 751."																		
"Tuohy, Albert, 1895-1966"		Albert Tuohy papers	Albert Tuohy managed the Hanford Street Grain Elevator in Seattle during the 1930s and 1940s and had a close working relationship with many longshore workers.																		
Twin City Central Labor Union		Twin City Central Labor Union minutes	"Twin City Central Labor Union was a regional joint labor council for union locals in the area of the cities of Chehalis and Centralia, Washington. Affilated with the Washington State Federation of Labor and the American Federation of Labor, it represented union workers and was comprised of officers and delegates drawn from the local unions in the region."																		
"Tyler, Jerry, 1911-2005"		Jerry Tyler papers	"Jerry Tyler became active in organized labor in the 1940s, and remained active throughout his career as a longshoreman. This activism led to his work as a radio broadcaster in 1948 when the Seattle CIO Industrial Union Council, for which Tyler was secretary, decided to start a radio program. Tyler also authored a number of books, focusing primarily on ""pulp fiction"" in the 1930s and on non-fiction later in his life."																		
"International Typographical Union. Local 99 (Seattle, Wash.)"		International Typographical Union Local 99 records	"Local 99 resulted from mergers in 1974 of various locals whose records are represented here. Seattle (Local 202), and Tacoma (Local 170) are the largest. Bremerton (Local 699), Bellingham (Local 355) and Olympia (Local 142) are also represented in the collection."																		
Michael Honey	Q16226154	Michael K. Honey Papers	"Michael Honey received his Ph.D. in history from Northern Illinois University in 1988 and an MA in history from Howard University in 1978. He taught at University of Maryland, Wesleyan University, and University of Puget Sound, taking a post-doc at the Stanford Humanities Center in 1989. In 1990 he became a founding faculty of the University of Washington, Tacoma, helping to devise the curriculum for the Interdisciplinary Arts and Sciences Program (now a School of UWT). He initiated and taught the first black history and labor history courses; and with Kathie Friedman Kasaba, a sociologist, he designed the Ethnic, Gender and Labor Studies curriculum (now a major in IAS). Honey initiated the Ernie Tanner Labor and Ethnic Studies Center and worked closely with ILWU Local 23 and with African American churches in developing public programs in the community on labor and black freedom movement studies. He worked closely with the National Civil Rights Museum in Memphis and continued his links to organizing and research in the South, where he had been the southern director of a civil liberties organization before going to graduate school. He held the Harry Bridges Endowed Chair of Labor Studies, 2000-2004; later became a vice-president and president of the Labor and Working-Class History Association; and has continued to work with the Pacific Northwest Labor History Association since he came to Tacoma. Honey received awards from the Guggenheim Foundation, the National Endowment for the Humanities, and other grants for his labor and civil rights and Martin Luther King studies, and book awards from the Robert F. Kennedy Foundation, the Organization of American Historians, the Southern Historical Association, the State of Washington and the United Association of Labor Educators for his four monographs in labor and civil rights history and his edited volume of King’s labor speeches. His files include numerous oral histories, research in southern labor and African American history and music, teaching materials, and documents of his professional growth as a historian with wide national recognition and as a faculty member at the University of Washington, and as the Fred and Dorothy Haley endowed Professor of Humanities at the UW Tacoma."																		
(No origination name found.)		"""The Union is Right at Boeing"" bumper sticker"																			
UNITE HERE (Organization). Local 8		UNITE HERE! Local 8 records	"UNITE HERE is an international labor union in the United States and Canada with roughly 300,000 active members. The union represents workers in the hotel, food service, laundry, warehouse, and casino gaming industries. The union was formed by a 2004 merger of two international unions: the Union of Needletrades, Industrial, and Textile Employees (UNITE) and Hotel Employees and Restaurant Employees Union (HERE).

In 2005, UNITE HERE withdrew from the AFL-CIO and joined the Change to Win Federation, along with several other unions, including the Teamsters, Service Employees International Union (SEIU) and the UFCW. In May 2009, union president Bruce Raynor (originally from UNITE) left UNITE HERE, taking with him numerous local unions and between 105,000 and 150,000 members, mostly garment workers and a labor-owned bank, Amalgamated Bank. They formed a new SEIU affiliate called Workers United. In 2009, UNITE HERE re-affiliated with the AFL-CIO.

HERE local unions in larger cities were typically organized on a craft basis, with separate organizations for job classifications such as cooks, waitresses, waiters, bartenders and hotel employees. Where separate craft local unions existed, there was often a Local Joint Executive Board which coordinated between the craft locals. UNITE HERE! Local 8 was formed in 2004 as a result of the merger of the Union of Needletrades, Industrial and Textile Employees (UNITE) and the Hotel and Restaurant Employees Union (HERE). It represents workers in the hospitality industry in Oregon and Washington. Local 8 of the Hotel, Motel and Restaurant Employees Union was formed in 1984 by a merger of Puget Sound-area locals 3, 33, 487, 551, and 596. Other local unions in Washington and Oregon later merged into Local 8 as well."																		
"United Brotherhood of Carpenters and Joiners of America. Local 1289 (Seattle, Wash.)"		United Brotherhood of Carpenters and Joiners of America Local 1289 records	Trade union organization. Local 1289 is a Seattle affiliate of the United Brotherhood of Carpenters and Joiners of America.																		
"United Brotherhood of Carpenters and Joiners of America. Local 131 (Seattle, Wash.)"		"United Brotherhood of Carpenters and Joiners of America, Local 131 Records"	Trade union organization. Local 131 is a Seattle affiliate of the United Brotherhood of Carpenters and Joiners of America.																		
"United Brotherhood of Carpenters and Joiners of America. District Council (Seattle, Wash.)."		United Brotherhood of Carpenters and Joiners of America District Council Seattle records	"City-wide coordinating body for affiliated local unions. Along with the Carpenters and Joiners of America, the organizations included in this accession are the Central Labor Council of Seattle and Vicinity, Northwest Chapter of Associated General Contractors of America, Seattle Department of Lighting, and Washington State Council of the United Brotherhood of Carpenters and Joiners of America."																		
United Faculty of Central		United Faculty of Central records	"The United Faculty of Central (UFC) is a bargaining agent for faculty of Central Washington University. The union, founded in 1998, was among the first wave of university-level organizing in Washington state. Faculty members organized for higher wages, a faculty voice in campus affairs, and a presence in Olympia during legislative funding debates."																		
United Farm Workers	Q7887749	United Farm Workers records																			
